Food_Item,Category,Calories,Protein_g,Fat_g,Carbs_g,Fiber_g,Vitamin_A_mcg,Vitamin_C_mg,Vitamin_D_IU,Vitamin_B12_mcg,Iron_mg,Calcium_mg,Zinc_mg,Folate_mcg,Magnesium_mg,Tags,Allergens,Health_Benefits
Watermelon (87g),Fruit,34.5,7.2,6.8,44.5,8.2,713.9,7.8,168.8,0.07,2.3,156.6,0.2,83.5,99.2,Diabetic-Friendly,Nuts,Supports Bone Health
Beetroot (117g),Vegetable,181.4,21.8,22.8,10.4,5.2,223.0,19.4,305.4,0.25,3.9,114.1,1.8,109.5,11.3,Low-Fat,Soy,Boosts Immunity
Fish (Pomfret) (85g),Seafood,340.2,20.8,18.6,51.8,7.0,564.0,4.1,91.2,0.69,0.9,77.5,0.6,114.8,97.2,High-Protein,Dairy,Improves Digestion
Mutton (93g),Meat,408.7,17.7,20.5,5.2,7.7,427.8,22.0,184.9,0.65,9.3,209.6,1.2,133.1,116.4,Vegan,Dairy,Boosts Immunity
Egg (105g),Protein,175.3,5.7,28.3,52.7,3.9,524.7,35.6,365.8,1.1,2.7,81.5,2.9,108.8,89.8,Diabetic-Friendly,Nuts,Improves Digestion
Milk (Cow) (88g),Dairy,315.5,2.7,1.5,7.5,7.6,633.9,38.0,25.4,0.92,10.0,163.4,4.9,345.0,6.7,Vegan,Soy,Improves Digestion
Muskmelon (101g),Fruit,84.7,11.2,13.7,57.3,10.5,211.4,45.1,71.5,2.19,8.7,96.5,3.2,245.5,27.2,Vegetarian,Soy,Energy Boost
Spinach (118g),Vegetable,208.0,1.0,27.9,52.8,10.0,246.7,5.2,351.2,2.27,0.9,150.9,0.4,305.4,116.0,Vegetarian,Nuts,Energy Boost
Mango (96g),Fruit,326.1,15.4,28.9,55.8,9.1,552.2,64.2,159.6,1.61,3.8,270.9,2.3,102.9,14.3,Vegan,Soy,Energy Boost
Milk (Cow) (117g),Dairy,147.7,2.2,19.0,14.5,10.9,687.8,6.4,95.2,1.61,2.2,48.4,4.7,230.6,73.5,Low-Fat,Nuts,Supports Bone Health
Cabbage (86g),Vegetable,402.2,9.2,12.4,52.0,0.8,523.1,58.2,24.2,1.75,8.0,41.7,1.0,216.8,25.3,Vegetarian,Gluten,Heart Healthy
Paneer (84g),Dairy,277.0,21.6,16.6,4.0,12.0,669.0,87.2,370.5,2.04,1.7,150.8,1.1,163.4,13.5,Low-Fat,None,Heart Healthy
Curd (109g),Dairy,185.4,17.6,21.9,47.2,8.0,389.9,17.1,87.1,0.14,7.4,27.7,1.6,24.8,74.1,Diabetic-Friendly,Dairy,Boosts Immunity
Green Peas (85g),Legume,513.8,2.2,2.1,51.8,5.0,753.3,51.3,231.6,0.1,0.9,200.6,2.9,130.0,42.8,High-Protein,Dairy,Improves Digestion
Bottle Gourd (88g),Vegetable,409.6,7.8,9.6,45.4,1.1,367.2,89.9,398.4,0.18,2.2,86.9,4.7,352.9,132.5,High-Protein,Gluten,Supports Bone Health
Beetroot (114g),Vegetable,428.1,15.5,29.6,39.6,0.3,653.9,26.9,265.4,2.25,1.4,43.5,0.6,223.5,44.5,Diabetic-Friendly,Dairy,Improves Digestion
Orange (120g),Fruit,514.7,12.9,7.6,54.6,0.8,507.8,74.6,17.6,0.8,1.4,294.1,0.9,179.5,107.3,Diabetic-Friendly,None,Boosts Immunity
White Rice (89g),Grain,336.4,20.9,17.5,9.7,1.7,247.3,80.9,318.4,2.07,9.0,70.9,1.3,45.6,118.1,Low-Fat,Soy,Supports Bone Health
Paneer (90g),Dairy,586.2,20.4,26.5,2.5,8.9,266.4,83.8,320.9,2.07,8.1,87.4,4.0,47.7,131.5,Low-Fat,Dairy,Supports Bone Health
Cucumber (102g),Vegetable,197.0,20.0,6.9,2.4,2.5,263.3,77.8,386.8,0.67,6.5,125.9,4.9,216.8,141.2,Vegan,Gluten,Supports Bone Health
Papaya (96g),Fruit,42.2,15.1,10.4,47.4,5.3,787.4,10.4,359.8,0.46,0.5,136.5,2.6,323.6,104.6,Vegetarian,Gluten,Heart Healthy
White Rice (101g),Grain,381.4,16.8,3.8,54.1,6.2,533.8,29.4,278.9,1.33,2.0,202.8,2.0,300.5,30.2,Diabetic-Friendly,Gluten,Heart Healthy
Tofu (80g),Soy Product,196.2,5.6,23.6,36.8,4.0,354.0,60.8,204.5,1.9,9.6,223.4,3.3,117.1,101.3,Diabetic-Friendly,Gluten,Boosts Immunity
Paneer (99g),Dairy,150.3,5.4,0.8,15.4,5.8,679.9,6.6,165.8,1.51,2.0,211.9,2.5,101.4,100.1,Vegan,None,Heart Healthy
Milk (Cow) (91g),Dairy,486.4,17.5,14.0,33.9,11.0,98.0,12.0,185.9,1.27,5.6,102.0,3.8,179.8,123.2,Diabetic-Friendly,Nuts,Energy Boost
Beetroot (90g),Vegetable,451.3,12.1,7.8,15.6,7.7,612.9,46.9,250.7,0.66,0.9,92.9,1.4,131.3,83.3,Vegetarian,Dairy,Supports Bone Health
